Gene ID	source_id	sense - ring	sense - schizont	sense - troph	antisense - ring	antisense - schizont	antisense - troph	sense - Late Trophozoite	sense - Schizont	sense - Gametocyte II	sense - Gametocyte V	sense - asexual blood stages	sense - midgut oocysts	sense - salivary gland sporozoites	sense - 40-5 hours post-invasion	sense - 2-10 hours post-invasion	sense - 7-15 hours post-invasion	sense - 12-20 hours post-invasion	sense - 17-25 hours post-invasion	sense - 32-40 hours post-invasion	sense - 27-35 hours post-invasion	sense - 22-30 hours post-invasion	sense - T05	sense - T10	sense - T15	sense - T20	sense - T30	sense - T25	sense - T35	sense - T40
PF3D7_0412200	PF3D7_0412200.1	11.19	8.75	24.4	3.01	2.69	8.52	1.89	0.99	1.65	0.45	2.65	3.19	0.74	2.35	8.8	21.31	16.88	24.26	25.88	24.44	20.93	4.09	15.43	29.38	44.81	45.46	43.2	49.58	31.4
PF3D7_0412300	PF3D7_0412300.1	4.7	14.76	18.73	0.76	1.88	3.23	7.08	2.07	1	0.58	4.2	2.52	1.71	1.85	1.35	2.17	3.77	7.92	20.93	15.78	11.08	4.89	2.89	6.13	12.06	27.26	17.16	32.44	43.62
PF3D7_0412400	PF3D7_0412400.1	0.5	0.13	0.35	0.37	0	0.08	0.13	1.54	0.33	1.29	0.88	0.28	1.86	0.32	0.8	0.77	1.13	0.51	0.33	0.47	0.56	0.14	0.22	0.43	0.24	0.16	0.08	0.14	0.4
PF3D7_0412500	PF3D7_0412500.1	0	0	0	0	0	0	15.34	2.42	25.65	37.95	446.01	35998.5	1985.62	0	0	0	1.35	0	0.91	1.25	0	0	0	0	0	0	0	0	0
PF3D7_0412600	PF3D7_0412600.1	0	0	0	0	0	0	7.08	2.23	0.21	3.47	23.01	1.03	0.95	0	0	0	0	0.13	0	0	0.13	0	0	0	0	0	0	0	0.71
PF3D7_0412700	PF3D7_0412700.1	0.28	0.17	0.14	0.09	0.12	0.11	3.13	93.26	0.78	2.88	5.94	1.49	10.26	0.66	0.63	0.38	0.76	0.76	1	0.6	0.51	1.15	0.48	0.4	0.37	0.52	0.35	0.62	2.23
PF3D7_0412800	PF3D7_0412800.1	0	0	0	0	0	0	21.47	0	9.62	8.76	69.07	14166.59	298.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57
PF3D7_0412900	PF3D7_0412900.1	0.26	0.78	0.38	0.11	0.33	0.14	1.88	55.79	0.9	6.73	1.74	0.55	7.32	0.58	0.55	0.35	0.45	0.42	0.91	0.38	0.4	0.24	0.25	0.24	0.14	0.25	0.06	0.28	0.45
PF3D7_0413000	PF3D7_0413000.1	0	0	0	0	0	0	21.47	0	9.62	8.76	34.59	13717.06	288.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59	1.78
PF3D7_0413100	PF3D7_0413100.1	0.49	0.54	0.32	0.08	0.43	0.13	1.96	55.04	0.87	6.56	1.79	0.94	6.93	0.59	0.57	0.33	0.35	0.25	0.79	0.35	0.28	0.28	0.29	0.16	0.1	0.22	0.09	0.28	0.55
PF3D7_0413200	PF3D7_0413200.1	0.65	0.3	0	0	0.68	0.56	0.18	0	0	0.87	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	1.28
PF3D7_0413300	PF3D7_0413300.1	0	0	0.34	0	0	0.34	0.4	0	0.83	1.42	0	0	3.65	0	0	0.14	0	0	0	0	0.13	0	0	0	0	0	0	0	2.31
PF3D7_0413400	PF3D7_0413400.1	4	1.06	0.82	5.53	7.94	0.67	0.33	1.29	0	0.7	0	0.05	2.35	0.28	0.51	0.79	0.57	0.1	0.29	0.6	0.52	0	0.22	0.44	1.11	0.85	0.32	0.17	3.99
PF3D7_0413500	PF3D7_0413500.1	46.5	377.95	230.43	9.72	48.26	34.76	218.03	194.63	38.45	17.64	10.99	13.33	7.65	49.81	7.99	3.27	1.14	1.47	242.44	92.47	12.18	146.26	40.77	3.85	1.38	88.48	5.92	326.57	590.31
PF3D7_0413600	PF3D7_0413600.1	379.88	1072	861.99	60.24	153.94	117.19	285.99	346.77	48.34	39.7	50.46	74.02	38.55	162.29	141.55	161.88	179.22	192.61	496.72	327.63	247.17	274.39	158.88	214.76	249.17	381.13	305.18	574.15	669.8
PF3D7_0413700	PF3D7_0413700.1	27.54	158.06	375.12	10.51	25.49	45.55	166.22	65.03	18.93	10.84	8.28	39.74	2.34	22	5.21	1.87	1.6	48.31	265.5	293.65	179.89	58.27	14.54	2.77	6.13	380.28	153.66	489.17	343.47
PF3D7_0413800	PF3D7_0413800.1	3.71	28.7	26.48	0.78	2.2	2.71	12.59	7.17	5.39	5.12	14.1	2.85	0.18	1.91	0.47	0	0.27	1.94	20.06	10.1	3.79	4.35	1.04	0.61	0.86	11.94	5.72	21.86	34.77
PF3D7_0413900	PF3D7_0413900.1	79.68	184.12	274.25	10.04	18.86	29.41	13.14	107.79	10.58	14.85	16.98	21.34	1.09	24.75	32.42	70.48	83.2	106.54	168.72	139.78	112.16	78.66	58.43	133.57	184.62	270.46	228.9	363.92	338.89
PF3D7_0414000	PF3D7_0414000.1	20.35	89.9	232.87	2.57	9.11	22.37	10.22	50.28	12.65	16.63	27.26	22.25	5.38	13.13	5.97	5.68	4.92	36.6	148.71	154.25	90.22	46.48	19.39	10.8	23.46	302.4	155.18	449.18	274.44
PF3D7_0414100	PF3D7_0414100.1	1.38	6.38	24.14	0	1.19	2.99	1.27	1.56	0.87	0.81	1.97	1.87	1.26	3.92	0.81	0.44	1.93	32.41	15.52	43.5	47.76	7.67	2.89	1.07	16.1	101.38	79.83	61.85	24.33
PF3D7_0414200	PF3D7_0414200.1	8.19	81.3	71.51	0	5.54	5.12	23.23	13.95	7.51	2.78	7.55	2.41	0	6.8	1.24	0.58	0.22	0.43	73.98	44.04	4.28	23.04	7.37	2.48	0.95	45.19	1.66	127	167.79
PF3D7_0414200	PF3D7_0414200.2	8.19	81.3	71.51	0	5.54	5.12	23.23	13.95	7.51	2.78	7.55	2.41	0	6.8	1.24	0.58	0.22	0.43	73.98	44.04	4.28	23.04	7.37	2.48	0.95	45.19	1.66	127	167.79
PF3D7_0414300	PF3D7_0414300.1	97.88	72.84	216.79	10.73	6.66	17.78	56.4	9.93	10.25	5	15.93	20.6	1.64	6.83	18.45	51.05	59.46	83.8	62.56	92.68	79.78	16.5	38.12	99.02	146.85	167.88	142.11	152.74	82.54
PF3D7_0414400	PF3D7_0414400.1	0.74	0	0.64	0	0	0	0	0.33	1.31	0.99	0	0.93	1.96	0.36	0.13	0.72	1.93	1.46	0.19	0.85	0.4	0.57	2.01	1.13	3.3	2.16	1.24	1.3	6.79
PF3D7_0414500	PF3D7_0414500.1	3.53	1.71	2.07	7.25	1.47	0.29	0.43	1.63	61.35	25.35	57.85	1.45	0.91	8.94	11.91	6.41	4.33	3.08	1.51	1.94	1.77	4.94	4.87	4.19	2.34	1.43	0.68	0.71	4.31
PF3D7_0414600	PF3D7_0414600.1	36.81	198.18	84.38	2.75	17.85	4.29	80.23	96.96	44.94	28.83	20.39	15.55	93.21	83.32	17.53	5.87	3.33	6.75	91.69	29.41	17.78	112.18	31.6	6.12	2.18	30.75	8.72	67.09	146.58
PF3D7_0414700	PF3D7_0414700.1	35.44	179.21	105.81	13.48	30.38	16.37	12.13	44.35	2.78	3.11	4.11	2.86	39.21	38.92	6.8	2.58	3.78	20	57.02	35.24	21.97	77.26	22.82	4.69	16.58	56.51	40.84	67.71	100.1
PF3D7_0414800	PF3D7_0414800.1	137.54	293.51	5.53	8.78	19.69	0.39	0.46	6.02	0.24	0.06	1.03	0.13	1.04	177.25	30.22	5.83	0.87	0.59	2.82	1.66	1.78	343.76	87.61	7.03	0.66	3.84	1.49	3.6	17.79
PF3D7_0414900	PF3D7_0414900.1	632.16	1895.69	6.62	105.82	219.37	3.44	3.41	343.67	6.04	1.62	0.78	0.24	5.15	1665.12	333.81	55.65	15.2	5.58	20.12	3.27	6.55	1479.03	510.15	51.59	6.37	4.15	2.5	2.77	176.75
PF3D7_0415000	PF3D7_0415000.1	261.56	86.18	181.36	37.98	31.52	23.76	92.57	29.91	30.99	6.86	43.32	14.1	1.46	17.63	61.47	84.79	65.4	47.91	66.13	62.74	53.71	60.55	150.23	178.36	142.99	119.18	98.41	163.23	136.09
