Gene ID	source_id	sense - ring	sense - schizont	sense - troph	antisense - ring	antisense - schizont	antisense - troph	sense - Late Trophozoite	sense - Schizont	sense - Gametocyte II	sense - Gametocyte V	sense - asexual blood stages	sense - midgut oocysts	sense - salivary gland sporozoites	sense - 40-5 hours post-invasion	sense - 2-10 hours post-invasion	sense - 7-15 hours post-invasion	sense - 12-20 hours post-invasion	sense - 17-25 hours post-invasion	sense - 32-40 hours post-invasion	sense - 27-35 hours post-invasion	sense - 22-30 hours post-invasion	sense - T05	sense - T10	sense - T15	sense - T20	sense - T30	sense - T25	sense - T35	sense - T40
PF3D7_0415100	PF3D7_0415100.1	49.19	8.74	30.36	7.51	3.87	6.91	4.19	1.86	4.72	1.07	8.47	2.08	0.84	10.41	36.34	76.25	44.94	20.7	29.31	35.95	26.7	30.22	91.61	145.53	86.18	71.69	48.06	78.98	56.88
PF3D7_0415200	PF3D7_0415200.1	4.45	17.01	31.38	7.33	2.76	6.25	2.37	17.28	1.07	1.15	25.78	1.25	2.11	5.34	2.59	2.3	1.68	10.04	77.14	73.7	33.59	20.6	6.12	3.02	5.24	102.01	39.26	172.48	138.6
PF3D7_0415300	PF3D7_0415300.1	187.96	30	143.77	33.8	6.78	21.27	2.16	23.45	7.12	12.12	4.93	8.44	8.25	48.46	214.12	273.87	265.96	232.73	63.3	141.05	213.13	96.39	261.3	401.95	346.55	219.61	319.62	205.94	95.13
PF3D7_0415400	PF3D7_0415400.1	175.77	239.76	169.38	44.21	41.3	31.93	57.79	49.89	42.15	8.51	32.88	17.73	50.09	148.79	114	152.45	118.53	143.93	245.23	173.88	121.71	281.92	258	265.72	269.11	195.1	200.14	303.89	396.7
PF3D7_0415500	PF3D7_0415500.1	239.17	122.38	179.68	33.23	13.64	19.68	154.68	49.22	77.3	15.75	28.68	23.25	72.17	85.18	171.46	190.83	151.74	181.19	100.26	137.93	170.6	182.16	338.69	376.61	389.19	297.46	360.95	278.4	212.01
PF3D7_0415600	PF3D7_0415600.1	1.44	9.79	62.25	2.21	1.83	9.57	5.21	1.17	4.97	2.41	8.65	2.1	2.38	4.35	1.93	1.74	7.6	44.59	14.32	49.65	56.12	4.87	2.25	3.41	37.69	131.15	109.17	72.94	17.48
PF3D7_0415700	PF3D7_0415700.1	16.33	55.36	48.51	0.76	3.58	2.52	19.35	13.8	0.79	0.31	0.55	4.62	3.63	40.78	6.83	1.64	1.14	6.9	33.09	27.48	15.72	62.59	27.7	3.94	3.67	39.88	15.87	65.24	58.75
PF3D7_0415800	PF3D7_0415800.1	38.67	138.64	9.06	4.83	14.16	1.71	3.45	9.85	0.98	4.45	3.76	2.73	6.53	103.4	16.33	4.51	1.49	2.39	7.8	6.83	3.48	152.16	56.67	6.07	0.6	11.2	2.84	10.66	22.23
PF3D7_0415900	PF3D7_0415900.1	1507.8	416.37	1599.81	370.74	89.66	373.11	1159.79	215.17	382.62	94.73	77.52	128.85	5.67	325.58	1506.75	2221.56	2753.94	2724.49	1110.01	1723.54	2327.34	350.99	1126.67	1949.35	2312.45	1578.28	2270.85	1510.9	730.87
PF3D7_0416000	PF3D7_0416000.1	38.8	158.21	140.25	14.24	26.22	31.16	19.45	119.08	32.94	36.51	14.13	6.91	16.4	120.92	31.04	15.09	61.03	139.62	236.26	228.64	187.87	120.79	39	12.98	61.23	152.31	133.02	203.51	242.66
PF3D7_0416100	PF3D7_0416100.1	27.41	161.39	159.25	6.16	29.3	23.84	19.87	94.83	7.93	16.39	18.62	14.35	57.86	34.13	8.34	3.48	4.37	22.16	108.66	86.03	44.66	77.86	20.81	7.06	10.84	115	51.77	159.75	207.38
PF3D7_0416200	PF3D7_0416200.1	16.55	8.78	10.65	12.17	56.67	58.43	30.57	40.57	21.36	11.7	5.83	3.83	3.05	248.69	238.91	287.73	243.68	200.33	144.42	127.5	141.78	569.7	607.91	769.15	619.82	265.32	448.11	326.65	387.83
PF3D7_0416300	PF3D7_0416300.1	12.39	47.94	74.42	2.31	9.31	12.86	1.91	33.28	1.47	3.81	5.64	5.11	5.6	12.09	7.32	10.28	5.76	14.97	47.96	50.57	31.86	38.41	20.74	18.12	18.63	90.78	46.53	119.03	106.56
PF3D7_0416400	PF3D7_0416400.1	49.49	356.5	313.74	9.72	64.06	48.99	7.47	282	7.63	8.94	3.86	18.26	12.14	130.56	29.11	14.59	47.61	112.2	472.9	299.29	172.09	260.67	61.67	23.92	86.36	244.93	183.74	575.83	823.76
PF3D7_0416500	PF3D7_0416500.1	17.43	128.74	59.85	13.77	95.18	82.46	30.94	44.54	43.84	5.43	11.64	4.41	3.05	32.23	7.77	6.38	3.67	5.77	115.86	37.93	12.45	84.36	27.33	7.63	4.07	34.83	13.87	117.14	230.97
PF3D7_0416600	PF3D7_0416600.1	2.59	19.53	56.69	2.08	1.78	2.4	13.82	5.61	6.75	1.89	9.47	5.14	5.38	14.43	5.59	2.68	2.19	8.24	43.51	58.75	25.98	50.41	17.67	4.36	3.75	123.69	42.7	157.93	110.57
PF3D7_0416700	PF3D7_0416700.1	40.36	75.38	110.73	3.36	4.25	9.74	108.85	45.2	33.3	15.16	22.16	13.76	0.67	15.12	26.08	39.44	37.01	47.09	106.07	65.98	47.2	34.25	37.14	54.66	72.1	80.82	63.64	103.89	121.29
PF3D7_0416800	PF3D7_0416800.1	522.34	609.97	1131.36	81.45	75.59	166.25	1369.71	460.89	208.83	66.31	84.18	72.27	17.24	127.32	379.33	507.15	673.4	777.2	1268.99	966.34	787.1	147.86	241.75	408.82	516.34	529.62	539.46	855.47	752.93
PF3D7_0416900	PF3D7_0416900.1	18.56	10.88	32.4	2.31	1.55	4.13	1.11	10.57	1.29	3.52	8.04	9.67	4.96	7.95	26.01	43.03	40.91	54.59	45.91	64.75	57.02	19.18	41.25	62.72	69.8	85.36	77.75	81	51.87
PF3D7_0417000	PF3D7_0417000.1	3.81	0.51	0.18	0.83	0.44	0.46	0.95	0	29.29	25.89	14.12	3.62	0.69	2.26	2.36	2.81	1.74	2.17	1.13	1.28	0.44	6.5	4.87	6.06	5.54	3.38	3.51	2.54	5.54
PF3D7_0417100	PF3D7_0417100.1	1.29	1	1.66	0	0.5	0	0	0.42	8.54	6.82	11.26	0.76	620.17	1.15	0.25	0.74	0.59	0.26	0.76	0.27	0.52	2.56	1.85	2.17	1.36	0.97	0.4	1.53	5.77
PF3D7_0417200	PF3D7_0417200.1	34.12	192.22	458.46	5.05	30.3	75.19	83.71	56.39	7.48	4.54	12.28	43.21	53.78	10.72	3.25	1.58	0.88	17.84	151.12	148.48	82.73	33.5	9.73	3.35	4.1	221.45	99.22	330.56	220.46
PF3D7_0417300	PF3D7_0417300.1	85.48	40.17	141.94	5.27	1.32	5.9	16.57	28.36	8.84	13.24	68.44	25.51	65.69	28.81	67.13	101.5	115.2	143.03	71.39	105.46	128.08	51.68	113.66	195.97	276.21	219.33	275.49	205.47	142.74
